<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
^VN30_HOSE,20120206,448.0000,453.7000,436.5000,445.3000,13467070
^VN30_HOSE,20120207,444.1000,454.5000,437.2000,446.7000,17261070
^VN30_HOSE,20120208,450.1000,459.3000,445.8000,456.1000,20406280
^VN30_HOSE,20120209,460.8000,464.8000,453.9000,458.9000,20379320
^VN30_HOSE,20120210,457.2000,460.1000,445.6000,451.8000,20816360
^VN30_HOSE,20120213,448.7000,451.3000,437.6000,439.4000,13169260
^VN30_HOSE,20120214,432.8000,447.6000,431.5000,444.2000,12913010
^VN30_HOSE,20120215,441.5000,447.6000,435.1000,441.0000,12467930
^VN30_HOSE,20120216,439.1000,446.0000,434.1000,439.7000,16595430
^VN30_HOSE,20120217,441.3000,451.2000,439.1000,447.1000,13335610
^VN30_HOSE,20120220,455.4000,462.0000,450.6000,458.8000,18064580
^VN30_HOSE,20120221,468.5000,470.1000,452.5000,455.4000,25524870
^VN30_HOSE,20120222,454.9000,465.5000,451.5000,463.1000,19632000
^VN30_HOSE,20120223,464.5000,469.9000,458.0000,468.3000,25663390
^VN30_HOSE,20120224,472.3000,477.7000,463.5000,467.5000,26683350
^VN30_HOSE,20120227,470.7000,479.6000,464.4000,472.2000,23089780
^VN30_HOSE,20120228,473.3000,478.4000,463.2000,466.5000,29995430
^VN30_HOSE,20120229,464.0000,474.8000,456.0000,467.4000,28501670
^VN30_HOSE,20120301,471.1000,475.4000,464.2000,472.1000,22342000
^VN30_HOSE,20120302,477.8000,487.2000,474.4000,485.9000,26665530
^VN30_HOSE,20120305,500.1000,508.2000,496.3000,504.5000,29554760
^VN30_HOSE,20120306,516.6000,518.4000,484.4000,487.8000,45858720
^VN30_HOSE,20120307,486.0000,491.6000,472.2000,485.9000,36308730
^VN30_HOSE,20120308,471.3000,489.1000,470.0000,471.3000,28423440
^VN30_HOSE,20120309,468.3000,480.2000,462.2000,472.5000,24564720
^VN30_HOSE,20120312,472.5000,472.5000,472.5000,472.5000,0
